hour, t(sec), V1, VAngle1, V2, VAngle2, V3, VAngle3, V4, VAngle4, I1, IAngle1, I2, IAngle2, I3, IAngle3, I4, IAngle4
0, 600.00000, 125.954, -32.754, 126.254, -152.844, 126.089, 87.0266, 2.034E-006, 138.48, 61.3713, 122.773, 62.684, 9.40695, 69.2919, -111.303, 4.38359, 141.819
0, 1200.00000, 126.269, -33.051, 126.571, -153.143, 126.398, 86.7278, 2.02559E-006, 137.721, 60.9089, 122.391, 62.327, 9.14378, 68.9719, -111.708, 4.36544, 141.061
0, 1800.00000, 126.673, -32.9437, 126.983, -153.042, 126.792, 86.8283, 2.03173E-006, 136.977, 60.8523, 122.342, 62.4594, 9.34272, 69.3013, -111.781, 4.37587, 140.189
0, 2400.00000, 126.586, -32.9746, 126.896, -153.072, 126.71, 86.7978, 2.05253E-006, 137.252, 61.4839, 122.357, 63.0387, 9.26204, 69.8679, -111.757, 4.41961, 140.56
0, 3000.00000, 126.8, -32.9129, 127.109, -153.011, 126.919, 86.8591, 2.04086E-006, 137.048, 60.991, 122.362, 62.6134, 9.34926, 69.4485, -111.767, 4.39507, 140.303
1, 0.00000, 126.526, -32.9848, 126.83, -153.079, 126.65, 86.7917, 2.0351E-006, 137.531, 60.9699, 122.391, 62.4707, 9.22243, 69.1761, -111.725, 4.38097, 140.83
1, 600.00000, 126.679, -32.9463, 126.975, -153.038, 126.808, 86.8362, 2.03435E-006, 138.273, 60.9025, 122.496, 62.3349, 9.13266, 68.8357, -111.645, 4.38213, 141.616
1, 1200.00000, 126.772, -32.9125, 127.065, -153.003, 126.898, 86.8724, 2.00704E-006, 138.253, 60.0912, 122.52, 61.5362, 9.17253, 67.9564, -111.637, 4.3252, 141.554
1, 1800.00000, 127.021, -32.836, 127.306, -152.926, 127.142, 86.9535, 1.97631E-006, 138.411, 59.0133, 122.586, 60.4762, 9.21687, 66.738, -111.605, 4.25628, 141.68
1, 2400.00000, 126.702, -32.9139, 126.98, -152.999, 126.828, 86.8816, 1.9562E-006, 138.948, 58.5476, 122.622, 59.8768, 9.0902, 65.9643, -111.554, 4.21086, 142.216
1, 3000.00000, 127.047, -32.8223, 127.317, -152.905, 127.174, 86.9792, 1.95017E-006, 139.665, 58.1766, 122.746, 59.4812, 9.05095, 65.3545, -111.47, 4.19946, 142.931
2, 0.00000, 126.623, -32.9295, 126.894, -153.012, 126.752, 86.8713, 1.93714E-006, 139.394, 58.0621, 122.677, 59.3148, 9.01469, 65.2382, -111.508, 4.16991, 142.666
2, 600.00000, 127.21, -32.7698, 127.483, -152.856, 127.328, 87.0283, 1.92616E-006, 138.878, 57.4252, 122.692, 58.8481, 9.2177, 64.8288, -111.536, 4.14865, 142.105
2, 1200.00000, 126.88, -32.8525, 127.153, -152.937, 127, 86.9461, 1.91428E-006, 138.732, 57.2726, 122.654, 58.6402, 9.17162, 64.6217, -111.554, 4.12061, 142.018
2, 1800.00000, 127.232, -32.7622, 127.504, -152.848, 127.35, 87.0367, 1.9196E-006, 138.863, 57.2643, 122.702, 58.6877, 9.22014, 64.6429, -111.536, 4.13396, 142.108
2, 2400.00000, 126.73, -32.8897, 127.007, -152.976, 126.848, 86.906, 1.91142E-006, 138.285, 57.2524, 122.59, 58.6428, 9.21178, 64.7262, -111.599, 4.11336, 141.581
2, 3000.00000, 127.003, -32.8228, 127.279, -152.91, 127.121, 86.9733, 1.92449E-006, 138.561, 57.4826, 122.637, 58.9016, 9.22405, 64.9593, -111.57, 4.14448, 141.814
3, 0.00000, 126.931, -32.8399, 127.207, -152.927, 127.049, 86.9559, 1.92122E-006, 138.515, 57.3882, 122.62, 58.8048, 9.22803, 64.8759, -111.58, 4.13523, 141.715
3, 600.00000, 127.135, -32.7871, 127.412, -152.875, 127.251, 87.0086, 1.92088E-006, 138.435, 57.3539, 122.643, 58.8102, 9.26486, 64.8751, -111.58, 4.13648, 141.686
3, 1200.00000, 126.795, -32.8707, 127.086, -152.964, 126.904, 86.9145, 1.91669E-006, 136.883, 57.3427, 122.439, 58.9127, 9.43355, 65.3361, -111.731, 4.12414, 140.166
3, 1800.00000, 127.043, -32.7937, 127.349, -152.896, 127.136, 86.9794, 1.89745E-006, 134.943, 56.6299, 122.257, 58.4684, 9.79471, 65.2767, -111.901, 4.08736, 138.107
