hour, t(sec), V1, VAngle1, V2, VAngle2, V3, VAngle3, I1, IAngle1, I2, IAngle2, I3, IAngle3
0, 600.00000, 7933.69, -1.70548, 7929.12, -121.684, 7925.57, 118.272, 33.4472, 155.323, 33.4467, 35.3147, 33.4428, -84.6804
0, 1200.00000, 7943.18, -2.0235, 7938.52, -122.002, 7934.96, 117.954, 39.5438, 154.98, 39.5432, 34.9721, 39.5385, -85.0229
0, 1800.00000, 7972.14, -1.9187, 7967.39, -121.897, 7963.76, 118.058, 37.5647, 155.01, 37.564, 35.0019, 37.5595, -84.993
0, 2400.00000, 7966.84, -1.9379, 7962.08, -121.916, 7958.44, 118.039, 37.9244, 155.005, 37.9237, 34.9962, 37.9192, -84.9986
0, 3000.00000, 7981.34, -1.88545, 7976.58, -121.863, 7972.94, 118.092, 36.9345, 155.02, 36.9338, 35.0112, 36.9294, -84.9836
1, 0.00000, 7961.59, -1.95673, 7956.89, -121.935, 7953.3, 118.02, 38.2843, 154.999, 38.2836, 34.9909, 38.2791, -85.0041
1, 600.00000, 7972.05, -1.91853, 7967.44, -121.897, 7963.9, 118.059, 37.5645, 155.01, 37.5639, 35.002, 37.5595, -84.9931
1, 1200.00000, 7977.33, -1.89928, 7972.77, -121.878, 7969.28, 118.079, 37.2053, 155.016, 37.2047, 35.0081, 37.2005, -84.9871
1, 1800.00000, 7993.14, -1.84182, 7988.67, -121.821, 7985.25, 118.136, 36.1241, 155.032, 36.1236, 35.0239, 36.1195, -84.9713
1, 2400.00000, 7969.46, -1.9271, 7965.08, -121.907, 7961.73, 118.051, 37.7444, 155.007, 37.7438, 34.9996, 37.7396, -84.9958
1, 3000.00000, 7993.09, -1.84137, 7988.8, -121.821, 7985.51, 118.137, 36.1241, 155.032, 36.1237, 35.0242, 36.1197, -84.9713
2, 0.00000, 7962.87, -1.95067, 7958.58, -121.931, 7955.3, 118.028, 38.1943, 155.001, 38.1938, 34.9929, 38.1896, -85.0026
2, 600.00000, 8003.69, -1.80329, 7999.37, -121.783, 7996.07, 118.176, 35.4037, 155.043, 35.4032, 35.0351, 35.3993, -84.9603
2, 1200.00000, 7980.02, -1.88861, 7975.71, -121.869, 7972.43, 118.09, 37.0243, 155.018, 37.0238, 35.0106, 37.0198, -84.9849
