hour, t(sec), V1, VAngle1, V2, VAngle2, V3, VAngle3, V4, VAngle4, I1, IAngle1, I2, IAngle2, I3, IAngle3, I4, IAngle4
0, 600.00000, 124.117, -32.9072, 124.426, -152.992, 124.266, 86.8713, 1.99941E-006, 138.331, 61.4398, 122.847, 62.4328, 9.47778, 69.1963, -111.069, 4.30897, 141.668
0, 1200.00000, 123.95, -33.3284, 124.264, -153.224, 124.453, 86.5428, 1.9811E-006, 137.482, 60.9355, 122.423, 62.0148, 9.30149, 68.9354, -111.459, 4.26897, 140.814
0, 1800.00000, 124.366, -33.2123, 124.687, -153.114, 124.861, 86.6523, 1.98715E-006, 136.732, 60.8739, 122.381, 62.1454, 9.50666, 69.258, -111.528, 4.28014, 139.946
0, 2400.00000, 124.277, -33.2451, 124.598, -153.145, 124.776, 86.6199, 2.00756E-006, 137.009, 61.507, 122.395, 62.7221, 9.42476, 69.8265, -111.504, 4.32271, 140.317
0, 3000.00000, 124.497, -33.179, 124.817, -153.08, 124.992, 86.6858, 1.99626E-006, 136.807, 61.0115, 122.403, 62.2982, 9.5151, 69.4044, -111.512, 4.29917, 140.064
1, 0.00000, 124.214, -33.2566, 124.53, -153.154, 124.714, 86.6124, 1.99048E-006, 137.289, 60.9935, 122.428, 62.1571, 9.38411, 69.1363, -111.473, 4.28473, 140.587
1, 600.00000, 124.372, -33.2151, 124.679, -153.109, 124.877, 86.6602, 1.98971E-006, 138.034, 60.9248, 122.535, 62.0219, 9.29674, 68.7975, -111.391, 4.28605, 141.379
1, 1200.00000, 124.467, -33.1794, 124.771, -153.073, 124.969, 86.6984, 1.96294E-006, 138.009, 60.1122, 122.56, 61.227, 9.33788, 67.9176, -111.382, 4.23053, 141.318
1, 1800.00000, 124.723, -33.0977, 125.018, -152.99, 125.22, 86.7848, 1.9332E-006, 138.18, 59.0309, 122.631, 60.1717, 9.38581, 66.6975, -111.347, 4.16356, 141.45
1, 2400.00000, 124.394, -33.1825, 124.682, -153.071, 124.895, 86.7058, 1.91331E-006, 138.715, 58.5686, 122.661, 59.5761, 9.25419, 65.9285, -111.3, 4.11842, 141.982
1, 3000.00000, 124.749, -33.0837, 125.028, -152.969, 125.252, 86.8109, 1.90757E-006, 139.438, 58.1942, 122.79, 59.1819, 9.22019, 65.3185, -111.212, 4.10782, 142.706
2, 0.00000, 124.312, -33.1999, 124.594, -153.085, 124.815, 86.6937, 1.89458E-006, 139.161, 58.0837, 122.715, 59.0172, 9.17745, 65.2048, -111.255, 4.07813, 142.431
2, 600.00000, 124.915, -33.0278, 125.198, -152.917, 125.41, 86.8634, 1.88422E-006, 138.652, 57.4405, 122.739, 58.5514, 9.38919, 64.7888, -111.276, 4.05853, 141.88
2, 1200.00000, 124.575, -33.1175, 124.859, -153.006, 125.071, 86.7741, 1.87248E-006, 138.501, 57.2908, 122.696, 58.3452, 9.33809, 64.5841, -111.298, 4.03048, 141.786
2, 1800.00000, 124.938, -33.0197, 125.22, -152.909, 125.433, 86.8723, 1.87786E-006, 138.638, 57.2791, 122.749, 58.3918, 9.39199, 64.6027, -111.276, 4.0442, 141.884
2, 2400.00000, 124.421, -33.1578, 124.709, -153.048, 124.915, 86.7308, 1.86963E-006, 138.049, 57.2719, 122.63, 58.3479, 9.37592, 64.6884, -111.345, 4.02317, 141.344
2, 3000.00000, 124.703, -33.0851, 124.989, -152.975, 125.197, 86.804, 1.88247E-006, 138.33, 57.4999, 122.681, 58.6049, 9.39239, 64.92, -111.312, 4.0541, 141.584
3, 0.00000, 124.628, -33.1037, 124.915, -152.994, 125.122, 86.785, 1.87941E-006, 138.291, 57.4058, 122.663, 58.5085, 9.39522, 64.8366, -111.324, 4.04493, 141.483
3, 600.00000, 124.839, -33.0466, 125.125, -152.937, 125.331, 86.8422, 1.87907E-006, 138.206, 57.3695, 122.689, 58.5138, 9.43523, 64.8343, -111.321, 4.04654, 141.458
3, 1200.00000, 124.488, -33.1372, 124.79, -153.034, 124.974, 86.7407, 1.87494E-006, 136.641, 57.3611, 122.48, 58.6159, 9.59861, 65.2928, -111.476, 4.03406, 139.925
3, 1800.00000, 124.743, -33.0548, 125.06, -152.961, 125.213, 86.8111, 1.85625E-006, 134.702, 56.6447, 122.303, 58.1727, 9.96331, 65.225, -111.645, 3.99888, 137.864
3, 2400.00000, 124.578, -33.0883, 124.907, -153.001, 125.037, 86.768, 1.83986E-006, 132.908, 56.0599, 122.112, 57.737, 10.193, 65.0973, -111.797, 3.95802, 136.143
3, 3000.00000, 124.76, -33.0459, 125.105, -152.967, 125.207, 86.7975, 1.8432E-006, 131.094, 56.9164, 121.962, 58.835, 10.3957, 66.6081, -112.018, 3.97119, 134.222
4, 0.00000, 124.324, -33.1613, 124.691, -153.091, 124.761, 86.6661, 1.85639E-006, 128.687, 57.1768, 121.675, 59.2555, 10.6087, 67.5475, -112.226, 3.98499, 132.038
4, 600.00000, 124.743, -33.0492, 125.128, -152.989, 125.167, 86.7645, 1.8617E-006, 127.001, 57.6264, 121.532, 59.9959, 10.9022, 68.7274, -112.398, 4.02103, 130.067
4, 1200.00000, 124.378, -33.154, 124.776, -153.099, 124.797, 86.6503, 1.88013E-006, 125.458, 58.3502, 121.375, 60.7902, 10.9387, 69.8349, -112.546, 4.03519, 128.82
4, 1800.00000, 124.587, -33.1064, 125.01, -153.064, 124.99, 86.6782, 1.9037E-006, 123.153, 59.5451, 121.16, 62.3063, 11.2085, 71.9901, -112.781, 4.10678, 126.317
4, 2400.00000, 124.385, -33.1664, 124.812, -153.124, 124.789, 86.6157, 1.9222E-006, 122.998, 60.0136, 121.125, 62.7548, 11.1641, 72.5186, -112.798, 4.13063, 126.306
4, 3000.00000, 124.32, -33.1878, 124.748, -153.145, 124.726, 86.5937, 1.93446E-006, 122.847, 60.3304, 121.126, 63.0562, 11.1272, 72.8395, -112.796, 4.14732, 126.444
5, 0.00000, 124.365, -33.1812, 124.797, -153.14, 124.772, 86.5976, 1.94288E-006, 123.275, 60.8131, 121.118, 63.5665, 11.1295, 73.4367, -112.801, 4.18322, 126.427
5, 600.00000, 124.378, -33.1792, 124.814, -153.14, 124.782, 86.5962, 1.95393E-006, 122.531, 61.0115, 121.08, 63.8107, 11.1722, 73.793, -112.827, 4.2041, 126.111
5, 1200.00000, 124.514, -33.1519, 124.951, -153.113, 124.921, 86.623, 1.96789E-006, 124.499, 61.7376, 121.127, 64.5409, 11.124, 74.5398, -112.797, 4.25235, 126.549
5, 1800.00000, 124.26, -33.2218, 124.702, -153.184, 124.667, 86.5498, 1.98238E-006, 122.998, 61.9232, 121.059, 64.7198, 11.117, 74.8257, -112.836, 4.26004, 126.233
5, 2400.00000, 124.071, -33.2761, 124.508, -153.426, 124.123, 86.4029, 1.97841E-006, 123.256, 62.0119, 121.053, 64.6723, 10.8822, 74.6083, -112.867, 4.24643, 126.568
5, 3000.00000, 123.562, -33.4083, 123.985, -153.551, 123.622, 86.2814, 1.92948E-006, 124.049, 61.2034, 121.098, 63.6461, 10.694, 73.253, -112.82, 4.15222, 127.34
6, 0.00000, 125.168, -32.9304, 125.608, -153.083, 125.217, 86.7502, 1.95561E-006, 124.63, 59.466, 120.384, 62.1094, 10.783, 72.0449, -113.161, 4.21547, 128.058
6, 600.00000, 124.163, -33.2015, 124.59, -153.357, 124.202, 86.4813, 1.944E-006, 125.076, 59.2767, 120.334, 62.145, 10.5658, 71.7683, -113.452, 4.18313, 128.289
6, 1200.00000, 123.767, -33.8729, 124.195, -154.028, 123.807, 85.8091, 1.92633E-006, 124.027, 58.9901, 119.691, 61.8079, 9.97643, 71.4591, -114.06, 4.15048, 127.398
6, 1800.00000, 125.209, -33.2939, 125.64, -153.268, 125.591, 86.4796, 1.96021E-006, 124.447, 59.1395, 120.062, 62.3652, 10.566, 72.1032, -113.799, 4.23419, 127.663
