hour, t(sec), V1, VAngle1, V2, VAngle2, I1, IAngle1, I2, IAngle2
0, 600.00000, 112.845, 116.761, 0.000556508, 19.1576, 23.7409, -85.5344, 23.7409, 94.4655
0, 1200.00000, 111.829, 116.444, 0.000550603, 18.8189, 23.836, -86.2639, 23.8361, 93.736
0, 1800.00000, 112.109, 116.517, 0.000551457, 18.7579, 24.2645, -86.2379, 24.2645, 93.7621
0, 2400.00000, 112.045, 116.494, 0.000551043, 18.7092, 24.3391, -86.2551, 24.3392, 93.7448
0, 3000.00000, 112.245, 116.544, 0.000552962, 18.7768, 24.2161, -85.6501, 24.2161, 94.3498
1, 0.00000, 112.015, 116.497, 0.000551306, 18.8171, 24.0139, -86.2397, 24.0139, 93.7602
1, 600.00000, 112.196, 116.556, 0.000553527, 18.9964, 23.5688, -85.6166, 23.5689, 94.3833
1, 1200.00000, 112.276, 116.593, 0.00055427, 19.1266, 23.2876, -85.5876, 23.2877, 94.4123
1, 1800.00000, 112.483, 116.679, 0.000555843, 19.3579, 22.8458, -85.5316, 22.8458, 94.4683
1, 2400.00000, 112.261, 116.627, 0.000555312, 19.4462, 22.3978, -85.5341, 22.3978, 94.4658
1, 3000.00000, 112.55, 116.737, 0.000557238, 19.69, 21.9981, -85.4691, 21.9981, 94.5308
2, 0.00000, 112.222, 116.631, 0.000555626, 19.5807, 21.9931, -85.5141, 21.9931, 94.4858
2, 600.00000, 112.658, 116.768, 0.000557669, 19.6966, 22.0806, -85.4593, 22.0807, 94.5406
2, 1200.00000, 112.408, 116.691, 0.00055654, 19.6427, 21.9958, -85.4885, 21.9958, 94.5114
2, 1800.00000, 112.678, 116.779, 0.000557873, 19.733, 22.0001, -85.4514, 22.0001, 94.5485
2, 2400.00000, 112.281, 116.644, 0.000555714, 19.5414, 22.1556, -85.5161, 22.1556, 94.4838
2, 3000.00000, 112.491, 116.71, 0.000556698, 19.5969, 22.1993, -85.4897, 22.1993, 94.5102
3, 0.00000, 112.435, 116.691, 0.00055642, 19.5779, 22.1979, -85.4979, 22.198, 94.502
3, 600.00000, 112.591, 116.742, 0.00055719, 19.6302, 22.2008, -85.4761, 22.2008, 94.5239
3, 1200.00000, 112.287, 116.618, 0.000554934, 19.3074, 22.8023, -85.5558, 22.8023, 94.4441
3, 1800.00000, 112.426, 116.637, 0.000554854, 19.1325, 23.4108, -85.5746, 23.4108, 94.4253
3, 2400.00000, 112.263, 116.565, 0.000553502, 18.9157, 23.8526, -85.6247, 23.8526, 94.3752
3, 3000.00000, 112.358, 116.564, 0.000553014, 18.6677, 24.622, -85.6592, 24.622, 94.3407
4, 0.00000, 111.931, 116.404, 0.000548838, 18.2068, 25.6171, -86.3603, 25.6171, 93.6396
4, 600.00000, 112.189, 116.452, 0.00054902, 17.9782, 26.488, -86.3668, 26.4881, 93.6331
4, 1200.00000, 111.887, 116.333, 0.000546843, 17.6825, 27.0209, -86.4594, 27.0209, 93.5405
4, 1800.00000, 111.97, 116.309, 0.000545671, 17.2555, 28.2758, -86.5239, 28.2759, 93.476
4, 2400.00000, 111.812, 116.25, 0.000544652, 17.1346, 28.4598, -86.5664, 28.4598, 93.4335
4, 3000.00000, 111.763, 116.231, 0.000544313, 17.0905, 28.5347, -86.5807, 28.5347, 93.4192
5, 0.00000, 111.785, 116.229, 0.000544118, 17.0101, 28.7783, -86.5921, 28.7784, 93.4079
5, 600.00000, 111.78, 116.217, 0.000543789, 16.921, 29.0185, -86.6084, 29.0186, 93.3915
5, 1200.00000, 111.879, 116.243, 0.00054407, 16.8932, 29.1904, -86.6001, 29.1905, 93.3998
5, 1800.00000, 111.679, 116.17, 0.000542853, 16.7594, 29.3686, -86.6501, 29.3687, 93.3498
5, 2400.00000, 111.276, 116.056, 0.000541105, 16.7047, 29.1641, -86.7063, 29.1641, 93.2936
5, 3000.00000, 110.945, 115.982, 0.000540509, 16.8952, 28.3273, -86.7169, 28.3273, 93.2831
6, 0.00000, 112.142, 116.369, 0.0005464, 17.287, 28.3749, -86.4881, 28.3749, 93.5118
6, 600.00000, 111.401, 116.137, 0.000542966, 17.1069, 28.175, -86.6184, 28.175, 93.3815
6, 1200.00000, 109.421, 115.539, 0.000533738, 16.5486, 27.9998, -88.2374, 27.9998, 91.7625
6, 1800.00000, 111.329, 116.101, 0.000542316, 16.9939, 28.4081, -86.6509, 28.4081, 93.3491
6, 2400.00000, 107.793, 115.139, 0.000525079, 15.9573, 28.1699, -88.6507, 28.1699, 91.3492
6, 3000.00000, 105.496, 114.435, 0.000512942, 14.9914, 28.3522, -89.3742, 28.3522, 90.6258
7, 0.00000, 105.101, 114.306, 0.000510709, 14.7769, 28.5021, -89.5087, 28.5021, 90.4912
7, 600.00000, 104.867, 114.197, 0.000508467, 14.3616, 29.3452, -89.6404, 29.3452, 90.3595
7, 1200.00000, 105.14, 114.268, 0.000509505, 14.3527, 29.6585, -89.5754, 29.6585, 90.4245
7, 1800.00000, 104.797, 114.146, 0.000507303, 14.0808, 30.0077, -89.7076, 30.0077, 90.2924
7, 2400.00000, 105.144, 114.201, 0.000507636, 13.7598, 31.2231, -89.68, 31.2231, 90.32
7, 3000.00000, 104.3, 113.844, 0.000500615, 12.5664, 33.4377, -90.0961, 33.4377, 89.9038
8, 0.00000, 104.257, 113.795, 0.000499426, 12.237, 34.2516, -90.1641, 34.2516, 89.8359
8, 600.00000, 104.284, 113.804, 0.000499554, 12.245, 34.2614, -90.1558, 34.2615, 89.8441
8, 1200.00000, 104.074, 113.748, 0.000498737, 12.2435, 34.0349, -90.2073, 34.0349, 89.7926
8, 1800.00000, 104.051, 113.703, 0.000497562, 11.8915, 34.9289, -90.2739, 34.9289, 89.726
8, 2400.00000, 104.392, 113.803, 0.00049913, 11.9744, 35.0929, -90.1752, 35.093, 89.8248
8, 3000.00000, 103.84, 113.646, 0.000496695, 11.8753, 34.7381, -90.3282, 34.7381, 89.6718
9, 0.00000, 104.023, 113.699, 0.000497513, 11.9134, 34.843, -90.2762, 34.843, 89.7238
9, 600.00000, 103.993, 113.689, 0.000497331, 11.8909, 34.8698, -90.2871, 34.8698, 89.7129
9, 1200.00000, 103.563, 113.561, 0.00049529, 11.7685, 34.7101, -90.4144, 34.7101, 89.5855
9, 1800.00000, 102.93, 113.375, 0.000492337, 11.6031, 34.4385, -90.5992, 34.4385, 89.4007
9, 2400.00000, 103.05, 113.412, 0.000492946, 11.6516, 34.4455, -90.5613, 34.4455, 89.4387
9, 3000.00000, 104.127, 113.763, 0.000498896, 12.2318, 34.1291, -90.1946, 34.1291, 89.8053
10, 0.00000, 103.361, 113.545, 0.000495529, 12.1004, 33.6279, -90.4059, 33.6279, 89.594
10, 600.00000, 103.498, 113.59, 0.000496267, 12.1685, 33.6023, -90.3602, 33.6023, 89.6397
10, 1200.00000, 104.304, 113.832, 0.000500184, 12.4267, 33.8162, -90.1167, 33.8162, 89.8832
10, 1800.00000, 104.971, 114.033, 0.000503449, 12.645, 33.9795, -89.9148, 33.9795, 90.0851
10, 2400.00000, 103.137, 113.491, 0.000494772, 12.1378, 33.2864, -90.4544, 33.2864, 89.5455
10, 3000.00000, 103.354, 113.566, 0.000496112, 12.3004, 33.1024, -90.3727, 33.1024, 89.6273
11, 0.00000, 103.275, 113.556, 0.000496094, 12.3935, 32.7761, -90.3756, 32.7761, 89.6243
11, 600.00000, 104.183, 113.87, 0.000501631, 13.0419, 32.0772, -90.0385, 32.0772, 89.9614
11, 1200.00000, 102.996, 113.559, 0.000497084, 13.0646, 30.7425, -90.3255, 30.7426, 89.6744
11, 1800.00000, 103.266, 113.672, 0.000499273, 13.431, 30.0842, -90.1943, 30.0842, 89.8057
11, 2400.00000, 103.357, 113.77, 0.000501613, 14.0653, 28.5415, -90.0582, 28.5416, 89.9417
11, 3000.00000, 103.815, 113.927, 0.000504411, 14.3849, 28.192, -89.8889, 28.1921, 90.111
12, 0.00000, 106.442, 114.721, 0.000517598, 15.2942, 28.5551, -89.0871, 28.5552, 90.9128
12, 600.00000, 105.583, 114.541, 0.00051547, 15.6745, 26.6508, -89.2261, 26.6508, 90.7739
12, 1200.00000, 105.02, 114.432, 0.000514291, 15.9943, 25.2337, -89.3039, 25.2337, 90.6961
12, 1800.00000, 105.348, 114.586, 0.000517455, 16.5698, 24.0554, -89.1185, 24.0555, 90.8814
12, 2400.00000, 106.051, 114.812, 0.000521415, 16.9317, 23.8076, -88.8824, 23.8076, 91.1176
12, 3000.00000, 106.58, 114.894, 0.000521979, 16.4695, 25.5702, -88.8402, 25.5702, 91.1597
13, 0.00000, 106.847, 115.007, 0.000524241, 16.8376, 24.8619, -88.7085, 24.8619, 91.2915
13, 600.00000, 105.894, 114.627, 0.000516839, 15.7197, 26.8531, -89.1426, 26.8532, 90.8573
13, 1200.00000, 106.59, 114.866, 0.000521167, 16.2098, 26.2718, -88.8853, 26.2718, 91.1146
13, 1800.00000, 105.939, 114.702, 0.000518762, 16.2569, 25.4776, -89.034, 25.4776, 90.966
13, 2400.00000, 105.263, 114.132, 0.000505197, 12.8432, 33.779, -89.8088, 33.779, 90.1912
13, 3000.00000, 104.848, 113.954, 0.000501693, 12.2349, 34.9212, -90.0166, 34.9212, 89.9834
14, 0.00000, 104.483, 113.751, 0.000497302, 11.2687, 37.051, -90.2724, 37.0511, 89.7276
14, 600.00000, 104.058, 113.604, 0.000494729, 10.9612, 37.3725, -90.4303, 37.3725, 89.5696
14, 1200.00000, 103.8, 113.504, 0.000492859, 10.6727, 37.8312, -90.5436, 37.8312, 89.4563
14, 1800.00000, 103.555, 113.447, 0.000492144, 10.7465, 37.3594, -90.5919, 37.3594, 89.408
14, 2400.00000, 105.176, 113.94, 0.000500124, 11.3201, 37.7023, -90.0933, 37.7023, 89.9066
14, 3000.00000, 103.417, 113.408, 0.00049158, 10.7355, 37.2297, -90.6284, 37.2297, 89.3716
15, 0.00000, 103.799, 113.537, 0.000493815, 10.9869, 37.0076, -90.4912, 37.0076, 89.5088
15, 600.00000, 104.861, 113.87, 0.000499305, 11.446, 37.0098, -90.15, 37.0098, 89.8499
15, 1200.00000, 105.38, 114.075, 0.000503226, 12.0671, 35.9552, -89.9161, 35.9553, 90.0838
15, 1800.00000, 105.382, 114.11, 0.000504228, 12.3845, 35.1178, -89.8609, 35.1179, 90.139
15, 2400.00000, 105.882, 114.28, 0.000507233, 12.7279, 34.7652, -89.6789, 34.7652, 90.3211
15, 3000.00000, 106.412, 114.445, 0.000510024, 12.9639, 34.726, -89.5087, 34.726, 90.4913
16, 0.00000, 105.235, 114.101, 0.000504523, 12.6585, 34.2262, -89.8508, 34.2263, 90.1492
16, 600.00000, 104.338, 113.838, 0.00050035, 12.4324, 33.8287, -90.1106, 33.8287, 89.8893
16, 1200.00000, 104.134, 113.781, 0.000499468, 12.403, 33.6802, -90.1661, 33.6802, 89.8338
16, 1800.00000, 104.228, 113.81, 0.000499958, 12.4438, 33.6759, -90.1362, 33.676, 89.8637
16, 2400.00000, 104.302, 113.843, 0.000500625, 12.5658, 33.4384, -90.0967, 33.4385, 89.9032
