hour, t(sec), V1, VAngle1, V2, VAngle2, V3, VAngle3, I1, IAngle1, I2, IAngle2, I3, IAngle3
0, 600.00000, 116.884, -32.458, 117.991, -152.819, 116.946, 86.834, 28.147, 113.859, 18.0762, 5.40278, 28.2286, -103.543
0, 1200.00000, 115.749, -32.7579, 116.832, -153.106, 115.823, 86.5458, 28.0321, 113.326, 18.0558, 3.5828, 27.7461, -104.444
0, 1800.00000, 116.138, -32.6546, 117.254, -153.029, 116.179, 86.6223, 27.9542, 113.552, 17.8318, 5.3183, 28.0619, -103.572
0, 2400.00000, 116.006, -32.6775, 117.117, -153.035, 116.078, 86.6096, 28.4545, 113.298, 18.2419, 3.65597, 28.1685, -104.285
0, 3000.00000, 116.249, -32.6236, 117.368, -152.998, 116.291, 86.6518, 28.0296, 113.563, 17.867, 5.33002, 28.1338, -103.536
1, 0.00000, 115.974, -32.6915, 117.069, -153.043, 116.048, 86.6063, 28.1654, 113.339, 18.096, 3.64603, 27.8792, -104.332
1, 600.00000, 116.155, -32.6647, 117.238, -153.025, 116.208, 86.6356, 27.7838, 113.79, 17.932, 5.32433, 27.8906, -103.788
1, 1200.00000, 116.269, -32.6348, 117.341, -152.99, 116.323, 86.6733, 27.4491, 113.805, 17.6945, 5.33613, 27.5466, -103.731
1, 1800.00000, 116.535, -32.5649, 117.592, -152.912, 116.591, 86.7559, 27.0063, 113.864, 17.3905, 5.36467, 27.0875, -103.641
1, 2400.00000, 116.269, -32.6476, 117.298, -152.986, 116.328, 86.6899, 26.6509, 113.95, 17.2831, 5.33573, 26.7381, -103.826
1, 3000.00000, 116.602, -32.5618, 117.616, -152.891, 116.669, 86.7887, 26.4702, 114.097, 17.2172, 5.37295, 26.5427, -103.807
2, 0.00000, 116.22, -32.6682, 117.227, -152.999, 116.282, 86.6835, 26.3593, 114.047, 17.1793, 5.33165, 26.445, -103.924
2, 600.00000, 116.769, -32.5089, 117.794, -152.842, 116.831, 86.8356, 26.2752, 113.978, 16.9471, 5.38718, 26.3376, -103.603
2, 1200.00000, 116.476, -32.592, 117.49, -152.924, 116.534, 86.7563, 26.1461, 113.965, 16.9097, 5.35579, 26.218, -103.715
