hour, t(sec), V1, VAngle1, V2, VAngle2, V3, VAngle3, I1, IAngle1, I2, IAngle2, I3, IAngle3
0, 600.00000, 123.625, -32.4144, 124.699, -152.753, 123.685, 86.9269, 28.3203, 114.2, 18.1699, 4.35192, 27.9778, -103.452
0, 1200.00000, 123.954, -32.7116, 125.03, -153.053, 124.006, 86.6282, 28.181, 113.772, 18.0061, 3.99825, 27.8396, -103.719
0, 1800.00000, 124.35, -32.5995, 125.448, -152.952, 124.389, 86.7269, 28.31, 113.657, 17.9451, 4.03375, 27.9689, -103.525
0, 2400.00000, 124.243, -32.6286, 125.343, -152.98, 124.287, 86.6963, 28.5448, 113.696, 18.1486, 4.02434, 28.2028, -103.601
0, 3000.00000, 124.472, -32.568, 125.571, -152.921, 124.511, 86.7579, 28.3654, 113.668, 17.9817, 4.04563, 28.0244, -103.517
1, 0.00000, 124.205, -32.6432, 125.289, -152.989, 124.252, 86.6919, 28.2611, 113.744, 18.0098, 4.02104, 27.9199, -103.645
1, 600.00000, 124.368, -32.6086, 125.431, -152.947, 124.419, 86.74, 28.1322, 113.887, 18.046, 4.03963, 27.7912, -103.758
1, 1200.00000, 124.491, -32.5792, 125.541, -152.914, 124.54, 86.7777, 27.772, 113.903, 17.8082, 4.05165, 27.4321, -103.729
1, 1800.00000, 124.781, -32.5091, 125.809, -152.837, 124.827, 86.8619, 27.2732, 113.961, 17.5034, 4.07931, 26.9351, -103.708
1, 2400.00000, 124.485, -32.5928, 125.492, -152.911, 124.54, 86.7918, 26.9601, 114.043, 17.3937, 4.05145, 26.6224, -103.835
1, 3000.00000, 124.85, -32.506, 125.834, -152.817, 124.906, 86.8935, 26.7177, 114.189, 17.3307, 4.08911, 26.3807, -103.904
2, 0.00000, 124.429, -32.6136, 125.415, -152.924, 124.488, 86.7839, 26.6726, 114.136, 17.2886, 4.04728, 26.3352, -103.928
2, 600.00000, 125.033, -32.4538, 126.023, -152.769, 125.08, 86.9412, 26.4915, 114.075, 17.0604, 4.10382, 26.1557, -103.734
2, 1200.00000, 124.708, -32.5378, 125.697, -152.851, 124.758, 86.8584, 26.4117, 114.059, 17.0198, 4.07202, 26.0758, -103.776
2, 1800.00000, 125.061, -32.4472, 126.048, -152.761, 125.107, 86.9502, 26.4215, 114.093, 17.0263, 4.10685, 26.0859, -103.743
2, 2400.00000, 124.556, -32.5734, 125.554, -152.89, 124.604, 86.8164, 26.4483, 113.976, 16.9833, 4.05565, 26.1123, -103.72
2, 3000.00000, 124.822, -32.5054, 125.82, -152.823, 124.869, 86.8846, 26.5413, 114.014, 17.0569, 4.08237, 26.2054, -103.713
3, 0.00000, 124.753, -32.5228, 125.751, -152.84, 124.8, 86.8668, 26.505, 113.993, 17.0208, 4.07455, 26.1692, -103.705
3, 600.00000, 124.957, -32.4698, 125.955, -152.788, 125.001, 86.9202, 26.5114, 114.014, 17.0251, 4.0955, 26.1757, -103.684
3, 1200.00000, 124.605, -32.5471, 125.638, -152.878, 124.641, 86.8196, 26.6798, 113.736, 16.9178, 4.05609, 26.3441, -103.469
3, 1800.00000, 124.862, -32.4646, 125.93, -152.812, 124.878, 86.8791, 26.6313, 113.424, 16.5819, 4.07436, 26.2974, -103.084
3, 2400.00000, 124.71, -32.4911, 125.806, -152.85, 124.714, 86.8342, 26.5645, 113.153, 16.3065, 4.05365, 26.2317, -102.821
3, 3000.00000, 124.828, -32.442, 125.966, -152.818, 124.815, 86.856, 27.2904, 113.082, 16.6882, 4.07017, 26.9544, -102.746
4, 0.00000, 124.376, -32.5384, 125.566, -152.934, 124.351, 86.7245, 27.6741, 112.738, 16.6488, 4.02052, 27.3373, -102.488
4, 600.00000, 124.743, -32.4245, 125.978, -152.84, 124.697, 86.8094, 28.211, 112.58, 16.7953, 4.0565, 27.8728, -102.265
4, 1200.00000, 124.345, -32.5143, 125.613, -152.941, 124.294, 86.698, 28.7284, 112.493, 17.0642, 4.01959, 28.3872, -102.267
4, 1800.00000, 124.469, -32.4549, 125.804, -152.909, 124.396, 86.7139, 29.713, 112.324, 17.4821, 4.03387, 29.3674, -102.093
4, 2400.00000, 124.254, -32.508, 125.599, -152.965, 124.183, 86.6538, 29.9335, 112.303, 17.6158, 4.01284, 29.5867, -102.122
4, 3000.00000, 124.18, -32.5267, 125.528, -152.984, 124.11, 86.6326, 30.0688, 112.314, 17.7176, 4.00614, 29.7212, -102.154
5, 0.00000, 124.203, -32.5176, 125.563, -152.979, 124.132, 86.6345, 30.3156, 112.304, 17.8562, 4.00883, 29.967, -102.149
5, 600.00000, 124.204, -32.5129, 125.577, -152.979, 124.13, 86.631, 30.461, 112.252, 17.891, 4.00763, 30.1118, -102.1
5, 1200.00000, 124.31, -32.4851, 125.689, -152.954, 124.237, 86.6555, 30.7723, 112.312, 18.1334, 4.01953, 30.4216, -102.156
5, 1800.00000, 124.054, -32.5477, 125.444, -153.02, 123.981, 86.5848, 30.8914, 112.247, 18.1635, 3.99335, 30.5401, -102.142
5, 2400.00000, 123.521, -32.6895, 124.904, -153.157, 123.457, 86.4461, 30.8341, 112.252, 18.1874, 3.94154, 30.4822, -102.251
5, 3000.00000, 123.829, -32.8143, 125.17, -153.267, 123.771, 86.3497, 30.3026, 112.243, 18.0193, 3.78419, 29.9529, -102.552
6, 0.00000, 124.666, -32.3587, 126.038, -152.842, 124.56, 86.7808, 30.042, 111.415, 17.3939, 4.33365, 29.9684, -102.283
6, 600.00000, 123.688, -32.6101, 125.045, -153.097, 123.577, 86.53, 30.0553, 111.403, 17.4776, 4.2445, 29.9806, -102.446
6, 1200.00000, 123.875, -33.3189, 125.234, -153.614, 124.124, 85.9194, 29.9289, 110.623, 17.3766, 3.64556, 29.8994, -103.146
6, 1800.00000, 125.171, -32.6027, 126.534, -153.098, 125.036, 86.5365, 30.1823, 111.088, 17.4719, 3.99999, 30.1054, -102.605
6, 2400.00000, 123.828, -33.6892, 125.209, -154.192, 123.697, 85.4316, 30.4761, 110.195, 17.6193, 3.12541, 30.3972, -103.454
6, 3000.00000, 124.193, -34.4863, 125.609, -155.012, 124.034, 84.6081, 31.2016, 109.233, 17.9373, 2.24426, 31.1165, -104.223
7, 0.00000, 124.311, -34.6274, 125.734, -155.163, 124.138, 84.4593, 31.4706, 109.057, 18.0772, 2.07502, 31.3826, -104.373
