hour, t(sec), V1, VAngle1, V2, VAngle2, V3, VAngle3, I1, IAngle1, I2, IAngle2, I3, IAngle3
0, 600.00000, 121.789, -32.5688, 122.872, -152.904, 121.867, 86.7643, 28.2745, 114.35, 18.1389, 4.49548, 27.9302, -103.3
0, 1200.00000, 121.272, -32.9, 122.361, -153.236, 121.351, 86.4281, 28.1143, 114.027, 17.9603, 4.24425, 27.7701, -103.459
0, 1800.00000, 121.678, -32.779, 122.789, -153.125, 121.745, 86.5356, 28.242, 113.919, 17.8996, 4.28614, 27.8982, -103.26
0, 2400.00000, 121.569, -32.8101, 122.682, -153.156, 121.641, 86.503, 28.4767, 113.957, 18.1029, 4.27574, 28.1319, -103.338
0, 3000.00000, 121.804, -32.7449, 122.915, -153.092, 121.87, 86.5694, 28.2967, 113.931, 17.9358, 4.2997, 27.953, -103.25
1, 0.00000, 121.529, -32.826, 122.626, -153.166, 121.603, 86.4974, 28.1938, 114.004, 17.9646, 4.27149, 27.8498, -103.382
1, 600.00000, 121.696, -32.7884, 122.772, -153.121, 121.775, 86.549, 28.0645, 114.149, 18.0002, 4.29209, 27.7208, -103.493
1, 1200.00000, 121.821, -32.757, 122.884, -153.085, 121.897, 86.5889, 27.7048, 114.166, 17.7628, 4.30511, 27.3622, -103.464
1, 1800.00000, 122.116, -32.6815, 123.157, -153.004, 122.189, 86.6787, 27.206, 114.228, 17.458, 4.33575, 26.8651, -103.439
1, 2400.00000, 121.812, -32.7722, 122.831, -153.085, 121.893, 86.6018, 26.8949, 114.305, 17.3492, 4.30353, 26.5543, -103.57
1, 3000.00000, 122.185, -32.6781, 123.182, -152.983, 122.267, 86.7112, 26.6517, 114.456, 17.2856, 4.34565, 26.3118, -103.634
2, 0.00000, 121.753, -32.7948, 122.752, -153.1, 121.838, 86.5923, 26.6082, 114.398, 17.2446, 4.29819, 26.268, -103.664
