hour, t(sec), S1 (kVA), Ang1, S2 (kVA), Ang2, S3 (kVA), Ang3
0, 600.00000, 927.012, 22.8531, 927.3, 22.8463, 932.637, 22.8798
0, 1200.00000, 1090.91, 22.8301, 1091.13, 22.8295, 1096.36, 22.8544
0, 1800.00000, 1037.86, 22.8488, 1038.14, 22.8471, 1043.47, 22.8777
0, 2400.00000, 1047.59, 22.8457, 1047.85, 22.844, 1053.21, 22.8736
0, 3000.00000, 1020.95, 22.8553, 1021.24, 22.8526, 1026.58, 22.8813
1, 0.00000, 1057.17, 22.8424, 1057.42, 22.841, 1062.7, 22.8688
1, 600.00000, 1037.85, 22.8501, 1038.08, 22.8474, 1043.31, 22.872
1, 1200.00000, 1028.1, 22.8531, 1028.34, 22.8503, 1033.5, 22.8752
1, 1800.00000, 998.914, 22.864, 999.159, 22.8605, 1004.25, 22.8865
1, 2400.00000, 1042.37, 22.8488, 1042.57, 22.8464, 1047.55, 22.8679
1, 3000.00000, 998.801, 22.8647, 999.003, 22.8609, 1003.93, 22.8838
2, 0.00000, 1054.37, 22.8447, 1054.55, 22.8426, 1059.44, 22.8621
2, 600.00000, 979.329, 22.8711, 979.566, 22.867, 984.502, 22.8925
2, 1200.00000, 1022.88, 22.8557, 1023.09, 22.853, 1027.98, 22.8753
2, 1800.00000, 976.881, 22.872, 977.119, 22.8679, 982.038, 22.8935
2, 2400.00000, 1042.21, 22.8485, 1042.42, 22.8465, 1047.33, 22.8683
2, 3000.00000, 1005.98, 22.8615, 1006.21, 22.8583, 1011.15, 22.8825
3, 0.00000, 1015.62, 22.8585, 1015.85, 22.8557, 1020.79, 22.8792
3, 600.00000, 989.011, 22.8675, 989.255, 22.8639, 994.205, 22.8894
3, 1200.00000, 1032.56, 22.8512, 1032.83, 22.8492, 1037.86, 22.8745
3, 1800.00000, 1001.04, 22.8612, 1001.39, 22.8589, 1006.53, 22.8901
3, 2400.00000, 1022.75, 22.8526, 1023.12, 22.8514, 1028.32, 22.8837
3, 3000.00000, 996.248, 22.8612, 996.702, 22.8597, 1002.04, 22.8979
4, 0.00000, 1049.48, 22.8409, 1049.96, 22.8419, 1055.44, 22.883
4, 600.00000, 993.936, 22.8595, 994.522, 22.8593, 1000.18, 22.9099
4, 1200.00000, 1037.57, 22.8437, 1038.16, 22.8452, 1043.88, 22.894
4, 1800.00000, 1006.3, 22.8535, 1007, 22.8546, 1012.96, 22.9126
4, 2400.00000, 1030.54, 22.845, 1031.22, 22.8469, 1037.21, 22.9027
4, 3000.00000, 1037.82, 22.8427, 1038.49, 22.8448, 1044.49, 22.8999
5, 0.00000, 1030.66, 22.8445, 1031.35, 22.8464, 1037.4, 22.903
5, 600.00000, 1028.26, 22.8454, 1028.97, 22.8472, 1035.06, 22.9052
5, 1200.00000, 1009.04, 22.8515, 1009.75, 22.8526, 1015.91, 22.9128
5, 1800.00000, 1040.45, 22.8412, 1041.15, 22.8434, 1047.32, 22.9009
5, 2400.00000, 1112.51, 22.8514, 1113.16, 22.8561, 1119.21, 22.9057
5, 3000.00000, 1179.7, 22.8272, 1180.26, 22.8334, 1186.12, 22.8742
6, 0.00000, 976.687, 22.9045, 977.46, 22.9028, 983.463, 22.9677
6, 600.00000, 1104.91, 22.8578, 1105.59, 22.863, 1111.42, 22.9125
6, 1200.00000, 1428, 22.8418, 1428.49, 22.8551, 1433.99, 22.8845
6, 1800.00000, 1111.89, 22.8908, 1112.6, 22.8972, 1118.44, 22.9475
6, 2400.00000, 1668.71, 24.0016, 1669.13, 24.024, 1674.33, 24.038
6, 3000.00000, 2022.08, 24.1898, 2022.3, 24.2173, 2027.21, 24.2197
7, 0.00000, 2080.67, 24.2097, 2080.86, 24.2386, 2085.72, 24.2394
