hour, t(sec), V1, VAngle1, V2, VAngle2, V3, VAngle3, V4, VAngle4, I1, IAngle1, I2, IAngle2, I3, IAngle3, I4, IAngle4
0, 600.00000, 125.179, -32.7613, 125.482, -152.849, 125.319, 87.0188, 2.02368E-006, 138.793, 61.3978, 122.861, 62.5762, 9.49388, 69.249, -111.148, 4.35207, 141.813
0, 1200.00000, 123.972, -33.0719, 124.282, -153.157, 124.117, 86.7054, 1.98844E-006, 137.877, 60.9907, 122.653, 62.0124, 9.40299, 68.8485, -111.246, 4.27275, 141.044
0, 1800.00000, 124.367, -32.9646, 124.684, -153.056, 124.502, 86.8058, 1.98827E-006, 136.949, 60.9316, 122.606, 62.1407, 9.60154, 69.1701, -111.319, 4.28292, 140.171
0, 2400.00000, 124.281, -32.9958, 124.599, -153.086, 124.422, 86.7751, 2.01767E-006, 137.985, 61.5631, 122.62, 62.7171, 9.52076, 69.7367, -111.295, 4.32575, 140.542
0, 3000.00000, 124.491, -32.9339, 124.808, -153.025, 124.626, 86.8365, 1.99736E-006, 137.028, 61.0697, 122.626, 62.2926, 9.60792, 69.3159, -111.304, 4.3017, 140.285
1, 0.00000, 124.223, -33.0058, 124.535, -153.094, 124.364, 86.7691, 1.99203E-006, 137.519, 61.0515, 122.654, 62.1537, 9.48148, 69.0497, -111.262, 4.28792, 140.812
1, 600.00000, 124.373, -32.9673, 124.676, -153.052, 124.518, 86.8137, 1.99122E-006, 138.277, 60.9828, 122.759, 62.0176, 9.39182, 68.7108, -111.182, 4.28905, 141.598
1, 1200.00000, 124.464, -32.9332, 124.764, -153.017, 124.606, 86.8503, 1.96448E-006, 138.304, 60.1692, 122.783, 61.2219, 9.43173, 67.8312, -111.174, 4.23333, 141.537
1, 1800.00000, 124.708, -32.8562, 125, -152.939, 124.845, 86.9319, 1.93422E-006, 138.404, 59.0876, 122.85, 60.1653, 9.47614, 66.612, -111.142, 4.16587, 141.663
1, 2400.00000, 124.396, -32.934, 124.681, -153.013, 124.538, 86.8602, 1.91471E-006, 138.918, 58.6245, 122.885, 59.5723, 9.34996, 65.8458, -111.09, 4.12144, 142.199
1, 3000.00000, 124.734, -32.8423, 125.01, -152.918, 124.876, 86.958, 1.90858E-006, 139.66, 58.2502, 123.009, 59.1759, 9.31066, 65.2352, -111.006, 4.11027, 142.914
