hour, t(sec), S1 (kVA), Ang1, S2 (kVA), Ang2, S3 (kVA), Ang3
0, 600.00000, 966.935, 23.5918, 967.238, 23.5856, 972.874, 23.6164
0, 1200.00000, 1135.64, 23.5354, 1135.85, 23.5345, 1141.41, 23.5541
0, 1800.00000, 1080.42, 23.5536, 1080.7, 23.5514, 1086.36, 23.5763
0, 2400.00000, 1090.54, 23.5505, 1090.8, 23.5485, 1096.48, 23.5724
0, 3000.00000, 1062.83, 23.5595, 1063.12, 23.5568, 1068.79, 23.5829
1, 0.00000, 1100.53, 23.5472, 1100.78, 23.5454, 1106.38, 23.5677
1, 600.00000, 1080.42, 23.5544, 1080.65, 23.5518, 1086.2, 23.574
1, 1200.00000, 1070.27, 23.5576, 1070.5, 23.5549, 1075.99, 23.5774
1, 1800.00000, 1039.9, 23.5681, 1040.15, 23.5646, 1045.54, 23.5882
1, 2400.00000, 1085.14, 23.5533, 1085.34, 23.551, 1090.62, 23.5703
1, 3000.00000, 1039.78, 23.5688, 1039.99, 23.5651, 1045.21, 23.5859
2, 0.00000, 1097.64, 23.5494, 1097.81, 23.5473, 1103, 23.5647
2, 600.00000, 1019.52, 23.5751, 1019.76, 23.5711, 1024.98, 23.5943
2, 1200.00000, 1064.85, 23.5601, 1065.07, 23.5574, 1070.26, 23.5776
2, 1800.00000, 1016.97, 23.576, 1017.21, 23.5719, 1022.42, 23.5952
2, 2400.00000, 1084.97, 23.5531, 1085.19, 23.5511, 1090.4, 23.5708
2, 3000.00000, 1047.26, 23.5658, 1047.49, 23.5626, 1052.73, 23.5846
3, 0.00000, 1057.31, 23.5626, 1057.54, 23.5598, 1062.77, 23.5812
3, 600.00000, 1029.63, 23.5709, 1029.88, 23.5673, 1035.12, 23.5906
3, 1200.00000, 1074.94, 23.5557, 1075.2, 23.5537, 1080.54, 23.5767
3, 1800.00000, 1042.13, 23.5656, 1042.47, 23.5632, 1047.93, 23.5918
3, 2400.00000, 1064.72, 23.5573, 1065.1, 23.556, 1070.62, 23.5855
3, 3000.00000, 1037.13, 23.5655, 1037.59, 23.5638, 1043.27, 23.5991
4, 0.00000, 1092.54, 23.5461, 1093.03, 23.5464, 1098.85, 23.5811
4, 600.00000, 1034.72, 23.5642, 1035.3, 23.5633, 1041.32, 23.6069
4, 1200.00000, 1080.13, 23.5488, 1080.73, 23.5495, 1086.83, 23.5912
4, 1800.00000, 1047.58, 23.5582, 1048.28, 23.5585, 1054.64, 23.6087
4, 2400.00000, 1072.78, 23.5504, 1073.47, 23.5515, 1079.86, 23.5995
4, 3000.00000, 1080.39, 23.5475, 1081.07, 23.5488, 1087.48, 23.5962
5, 0.00000, 1072.93, 23.5496, 1073.62, 23.5506, 1080.09, 23.5994
5, 600.00000, 1070.43, 23.5503, 1071.13, 23.5513, 1077.66, 23.6012
5, 1200.00000, 1050.4, 23.5566, 1051.12, 23.5568, 1057.7, 23.6089
5, 1800.00000, 1083.12, 23.5461, 1083.82, 23.5475, 1090.42, 23.5968
5, 2400.00000, 1155.88, 23.5217, 1156.51, 23.5252, 1163.04, 23.567
5, 3000.00000, 1228.11, 23.5324, 1228.67, 23.5379, 1234.97, 23.5717
6, 0.00000, 1016.79, 23.6076, 1017.56, 23.605, 1023.97, 23.6618
6, 600.00000, 1150.27, 23.5625, 1150.95, 23.5668, 1157.2, 23.6091
6, 1200.00000, 1483.83, 23.5124, 1484.29, 23.5243, 1490.31, 23.5445
6, 1800.00000, 1157.58, 23.5947, 1158.28, 23.6001, 1164.56, 23.6431
6, 2400.00000, 1725.68, 23.4907, 1726.02, 23.5084, 1731.96, 23.5208
6, 3000.00000, 2129.83, 23.4738, 2129.96, 23.498, 2135.65, 23.5004
7, 0.00000, 2196.89, 23.4478, 2196.98, 23.4735, 2202.63, 23.474
7, 600.00000, 2225.77, 23.4649, 2229.66, 23.4764, 2235.74, 23.487
7, 1200.00000, 2173.25, 23.4841, 2177.15, 23.4971, 2183.24, 23.5098
7, 1800.00000, 2228.25, 23.4631, 2232.18, 23.4776, 2238.29, 23.4882
7, 2400.00000, 2149.46, 23.4915, 2153.44, 23.5081, 2159.72, 23.5235
7, 3000.00000, 2268.38, 23.4477, 2268.68, 23.4864, 2274.86, 23.4925
8, 0.00000, 2263.75, 23.4484, 2264.09, 23.4894, 2270.35, 23.4963
8, 600.00000, 2258.94, 23.4485, 2259.32, 23.4937, 2265.44, 23.5
8, 1200.00000, 2299.35, 23.4299, 2299.76, 23.4827, 2305.52, 23.486
8, 1800.00000, 2289.89, 23.4322, 2290.37, 23.4875, 2296.22, 23.4922
8, 2400.00000, 2227.76, 23.4523, 2228.38, 23.5158, 2234.03, 23.5213
8, 3000.00000, 2330.24, 23.4425, 2334.66, 23.4915, 2340.43, 23.5019
9, 0.00000, 2296.78, 23.451, 2301.32, 23.5098, 2306.76, 23.5204
9, 600.00000, 2301.5, 23.4485, 2306.07, 23.5096, 2311.42, 23.5196
9, 1200.00000, 2384.01, 23.4202, 2384.7, 23.5001, 2389.45, 23.4983
9, 1800.00000, 2504.26, 23.4078, 2504.87, 23.4887, 2509.36, 23.4837
9, 2400.00000, 2483.02, 23.4157, 2483.65, 23.4982, 2488.12, 23.4932
9, 3000.00000, 2297.74, 23.4861, 2298.56, 23.5731, 2303.04, 23.5713
10, 0.00000, 2440.25, 23.4326, 2440.92, 23.5182, 2445.17, 23.5121
10, 600.00000, 2416.69, 23.4392, 2417.41, 23.5284, 2421.54, 23.5221
10, 1200.00000, 2271.53, 23.4923, 2272.42, 23.5864, 2276.62, 23.5834
10, 1800.00000, 2147.48, 23.5063, 2148.46, 23.6032, 2152.77, 23.6008
10, 2400.00000, 2485.41, 23.4116, 2486.08, 23.503, 2489.98, 23.4938
10, 3000.00000, 2449.92, 23.4253, 2450.61, 23.517, 2454.51, 23.5082
11, 0.00000, 2468.67, 23.4186, 2469.35, 23.5098, 2473.17, 23.5006
11, 600.00000, 2318.91, 23.476, 2319.72, 23.5692, 2323.53, 23.5625
11, 1200.00000, 2553.07, 23.4219, 2553.64, 23.5096, 2557.06, 23.4973
11, 1800.00000, 2515.15, 23.437, 2515.75, 23.5239, 2519.1, 23.512
11, 2400.00000, 2521.85, 23.4364, 2522.4, 23.5211, 2525.51, 23.5079
11, 3000.00000, 2446.15, 23.4644, 2446.76, 23.55, 2449.86, 23.538
12, 0.00000, 1962.5, 23.51, 1963.46, 23.6041, 1966.96, 23.6
12, 600.00000, 2140.71, 23.4446, 2141.44, 23.5329, 2144.52, 23.5217
12, 1200.00000, 2264.27, 23.4332, 2264.85, 23.5165, 2267.67, 23.5018
12, 1800.00000, 2223.58, 23.4496, 2224.14, 23.5324, 2226.77, 23.5169
12, 2400.00000, 2103.72, 23.4951, 2104.34, 23.5799, 2107, 23.5656
12, 3000.00000, 1981.71, 23.5062, 1982.48, 23.595, 1985.5, 23.5835
13, 0.00000, 1945.32, 23.5201, 1946.1, 23.6094, 1948.99, 23.5975
13, 600.00000, 2083.21, 23.4664, 2083.97, 23.5544, 2087.17, 23.5447
13, 1200.00000, 1969.84, 23.51, 1970.64, 23.6003, 1973.78, 23.5892
13, 1800.00000, 2095.4, 23.4637, 2096.03, 23.5504, 2099.02, 23.5367
13, 2400.00000, 2091.52, 23.4583, 2092.49, 23.5533, 2096.91, 23.5523
13, 3000.00000, 2147.09, 23.4368, 2148.02, 23.5315, 2152.63, 23.5299
14, 0.00000, 2178.69, 23.4236, 2179.64, 23.5199, 2184.61, 23.5198
14, 600.00000, 2252.4, 23.4312, 2253.24, 23.5245, 2258.3, 23.5248
14, 1200.00000, 2290.72, 23.4173, 2291.5, 23.5096, 2296.66, 23.5091
14, 1800.00000, 2345.26, 23.4321, 2345.93, 23.5226, 2351, 23.5188
14, 2400.00000, 2051.33, 23.5113, 2052.23, 23.6026, 2057.74, 23.6057
14, 3000.00000, 2371.55, 23.424, 2372.12, 23.5099, 2377.31, 23.5055
15, 0.00000, 2307.53, 23.4517, 2308.05, 23.5309, 2313.55, 23.5286
15, 600.00000, 2116.9, 23.5123, 2117.27, 23.5789, 2127, 23.5753
15, 1200.00000, 2041.94, 23.5222, 2042.59, 23.5985, 2048.3, 23.5997
15, 1800.00000, 2054.06, 23.5197, 2054.61, 23.5919, 2060.28, 23.5912
15, 2400.00000, 1968.05, 23.5199, 1968.6, 23.5872, 1974.45, 23.5893
15, 3000.00000, 1872.23, 23.5286, 1872.7, 23.5779, 1879.19, 23.5871
16, 0.00000, 2084.95, 23.4498, 2085.17, 23.4938, 2091.59, 23.4958
16, 600.00000, 2255.86, 23.4556, 2255.9, 23.4935, 2262.35, 23.4939
16, 1200.00000, 2293.97, 23.4418, 2293.95, 23.4782, 2300.41, 23.4777
16, 1800.00000, 2277.51, 23.4501, 2277.45, 23.4817, 2284.09, 23.4821
16, 2400.00000, 2268.03, 23.4544, 2267.94, 23.4852, 2274.59, 23.4852
16, 3000.00000, 2225.2, 23.4725, 2225.07, 23.5005, 2231.8, 23.4984
17, 0.00000, 2194.09, 23.4867, 2193.91, 23.511, 2200.6, 23.5083
17, 600.00000, 2186.91, 23.4905, 2186.66, 23.5142, 2193.21, 23.5092
17, 1200.00000, 2265.68, 23.4614, 2265.3, 23.4834, 2271.72, 23.4753
