hour, t(sec), V1, VAngle1, V2, VAngle2, V3, VAngle3, V4, VAngle4, I1, IAngle1, I2, IAngle2, I3, IAngle3, I4, IAngle4
0, 600.00000, 125.588, -32.8936, 125.891, -152.982, 125.726, 86.886, 2.02526E-006, 138.274, 61.3843, 122.679, 62.6336, 9.31126, 69.2718, -111.366, 4.36873, 141.68
0, 1200.00000, 125.763, -33.2184, 126.068, -153.31, 125.895, 86.5592, 2.01424E-006, 137.484, 60.926, 122.285, 62.2571, 9.03695, 68.9431, -111.77, 4.34502, 140.895
0, 1800.00000, 126.186, -33.1021, 126.499, -153.199, 126.309, 86.6687, 2.0225E-006, 136.817, 60.8672, 122.243, 62.3912, 9.24207, 69.2714, -111.839, 4.35627, 140.031
0, 2400.00000, 126.095, -33.1348, 126.408, -153.231, 126.223, 86.6365, 2.04329E-006, 137.093, 61.4993, 122.257, 62.9695, 9.16023, 69.838, -111.816, 4.39966, 140.4
0, 3000.00000, 126.319, -33.0686, 126.632, -153.166, 126.442, 86.7022, 2.03178E-006, 136.892, 61.0055, 122.265, 62.5457, 9.25055, 69.4187, -111.823, 4.37566, 140.148
1, 0.00000, 126.032, -33.1465, 126.339, -153.24, 126.16, 86.6288, 2.02592E-006, 137.372, 60.9853, 122.29, 62.4017, 9.11953, 69.1466, -111.784, 4.36104, 140.669
1, 600.00000, 126.193, -33.1049, 126.492, -153.195, 126.325, 86.6766, 2.0252E-006, 138.114, 60.9175, 122.397, 62.267, 9.03208, 68.8071, -111.703, 4.36251, 141.458
1, 1200.00000, 126.289, -33.0694, 126.585, -153.159, 126.418, 86.7145, 1.99796E-006, 138.088, 60.1059, 122.422, 61.4696, 9.07314, 67.9282, -111.694, 4.30599, 141.398
1, 1800.00000, 126.549, -32.9879, 126.837, -153.076, 126.674, 86.8006, 1.96769E-006, 138.259, 59.0266, 122.492, 60.4119, 9.12091, 66.7102, -111.66, 4.23784, 141.529
1, 2400.00000, 126.214, -33.073, 126.495, -153.157, 126.343, 86.7215, 1.94748E-006, 138.791, 58.5619, 122.522, 59.8113, 8.98921, 65.937, -111.613, 4.19195, 142.058
