hour, t(sec), V1, VAngle1, V2, VAngle2, V3, VAngle3, I1, IAngle1, I2, IAngle2, I3, IAngle3
0, 600.00000, 7910.9, -1.84179, 7906.11, -121.82, 7902.42, 118.134, 33.4332, 155.247, 33.4326, 35.2381, 33.4285, -84.7567
0, 1200.00000, 7911.56, -2.18692, 7906.71, -122.164, 7902.94, 117.789, 39.5208, 154.9, 39.52, 34.8917, 39.5151, -85.103
0, 1800.00000, 7941.76, -2.07337, 7936.81, -122.05, 7932.96, 117.903, 37.543, 154.935, 37.5422, 34.9265, 37.5375, -85.068
0, 2400.00000, 7936.24, -2.09417, 7931.28, -122.071, 7927.42, 117.882, 37.9024, 154.929, 37.9016, 34.9199, 37.8969, -85.0746
0, 3000.00000, 7951.35, -2.03708, 7946.36, -122.014, 7942.58, 117.939, 36.9132, 154.946, 36.9125, 34.9375, 36.9079, -85.0571
1, 0.00000, 7930.76, -2.11456, 7925.87, -122.092, 7922.06, 117.862, 38.2619, 154.922, 38.2612, 34.9136, 38.2564, -85.081
1, 600.00000, 7941.66, -2.07292, 7936.84, -122.051, 7933.16, 117.903, 37.5428, 154.935, 37.5421, 34.9266, 37.5375, -85.0683
1, 1200.00000, 7947.17, -2.05208, 7942.39, -122.03, 7938.77, 117.924, 37.1839, 154.942, 37.1833, 34.9336, 37.1788, -85.0612
1, 1800.00000, 7963.66, -1.98984, 7958.97, -121.968, 7955.42, 117.987, 36.1035, 154.961, 36.1029, 34.9523, 36.0986, -85.0427
1, 2400.00000, 7938.97, -2.0822, 7934.38, -122.061, 7930.9, 117.895, 37.7224, 154.932, 37.7219, 34.9237, 37.7174, -85.0714
1, 3000.00000, 7963.61, -1.98936, 7959.11, -121.969, 7955.7, 117.988, 36.1035, 154.961, 36.103, 34.9526, 36.0988, -85.0426
2, 0.00000, 7932.1, -2.10774, 7927.6, -122.087, 7924.2, 117.87, 38.172, 154.924, 38.1714, 34.9159, 38.167, -85.0794
2, 600.00000, 7974.67, -1.94812, 7970.13, -121.927, 7966.7, 118.029, 35.3837, 154.974, 35.3831, 34.9654, 35.379, -85.0298
2, 1200.00000, 7949.99, -2.04051, 7945.47, -122.02, 7942.06, 117.937, 37.003, 154.945, 37.0024, 34.9366, 36.9981, -85.0586
2, 1800.00000, 7976.04, -1.94291, 7971.52, -121.922, 7968.1, 118.035, 35.2935, 154.975, 35.293, 34.9669, 35.2889, -85.0283
2, 2400.00000, 7939.05, -2.08176, 7934.5, -122.061, 7931.06, 117.896, 37.7224, 154.932, 37.7218, 34.9238, 37.7175, -85.0713
2, 3000.00000, 7959.59, -2.00464, 7955.03, -121.984, 7951.59, 117.973, 36.3735, 154.956, 36.373, 34.9478, 36.3687, -85.0473
3, 0.00000, 7954.13, -2.02509, 7949.56, -122.004, 7946.12, 117.952, 36.7323, 154.949, 36.7317, 34.9407, 36.7275, -85.0544
3, 600.00000, 7969.21, -1.96864, 7964.64, -121.948, 7961.19, 118.009, 35.7435, 154.967, 35.743, 34.9589, 35.7388, -85.0362
3, 1200.00000, 7944.62, -2.06137, 7939.91, -122.04, 7936.37, 117.916, 37.3628, 154.938, 37.3621, 34.93, 37.3577, -85.0648
3, 1800.00000, 7962.59, -1.99448, 7957.72, -121.973, 7954.09, 117.982, 36.1937, 154.959, 36.1929, 34.9507, 36.1886, -85.0439
3, 2400.00000, 7950.37, -2.04072, 7945.38, -122.018, 7941.69, 117.936, 37.0034, 154.945, 37.0024, 34.9362, 36.998, -85.0581
3, 3000.00000, 7965.49, -1.98466, 7960.31, -121.962, 7956.49, 117.991, 36.0138, 154.963, 36.0128, 34.9535, 36.0084, -85.0406
4, 0.00000, 7935.45, -2.09853, 7930.09, -122.074, 7926.04, 117.877, 37.9927, 154.928, 37.9914, 34.9181, 37.9866, -85.0754
4, 600.00000, 7967.06, -1.98056, 7961.49, -121.956, 7957.29, 117.995, 35.9241, 154.964, 35.9227, 34.9546, 35.9181, -85.0386
4, 1200.00000, 7942.4, -2.07354, 7936.71, -122.048, 7932.43, 117.902, 37.5432, 154.936, 37.5416, 34.9256, 37.5367, -85.0674
4, 1800.00000, 7960.29, -2.00739, 7954.31, -121.981, 7949.82, 117.967, 36.3741, 154.956, 36.3724, 34.9459, 36.3675, -85.0465
4, 2400.00000, 7946.57, -2.05903, 7940.56, -122.032, 7936.03, 117.915, 37.2735, 154.94, 37.2717, 34.9299, 37.2667, -85.0626
4, 3000.00000, 7942.45, -2.07455, 7936.42, -122.048, 7931.88, 117.9, 37.5426, 154.935, 37.5409, 34.9247, 37.5358, -85.0678
5, 0.00000, 7946.54, -2.05943, 7940.46, -122.032, 7935.88, 117.915, 37.2743, 154.941, 37.2725, 34.9303, 37.2674, -85.0621
5, 600.00000, 7947.93, -2.05435, 7941.81, -122.027, 7937.18, 117.919, 37.1836, 154.942, 37.1818, 34.9313, 37.1767, -85.061
5, 1200.00000, 7958.86, -2.01344, 7952.7, -121.986, 7948.04, 117.96, 36.4639, 154.955, 36.4622, 34.9439, 36.4571, -85.0483
5, 1800.00000, 7941.05, -2.08048, 7934.86, -122.053, 7930.17, 117.893, 37.6331, 154.934, 37.6313, 34.9231, 37.6261, -85.0691
5, 2400.00000, 7946.81, -2.23069, 7940.63, -122.203, 7935.97, 117.743, 40.274, 154.769, 40.272, 34.758, 40.2664, -85.2341
5, 3000.00000, 7909.01, -2.3656, 7946.12, -122.352, 7943.34, 117.59, 42.7666, 154.665, 42.8467, 34.6775, 42.8147, -85.4215
6, 0.00000, 8024.18, -1.94039, 8018.12, -121.914, 8013.55, 118.034, 35.2357, 154.858, 35.234, 34.8476, 35.2292, -85.1446
6, 600.00000, 7951.03, -2.21367, 7945, -122.187, 7940.53, 117.761, 40.0039, 154.774, 40.0019, 34.7635, 39.9966, -85.2289
6, 1200.00000, 7903.39, -2.89611, 7938.97, -122.885, 7936.57, 117.056, 51.9328, 154.149, 52.0272, 34.1607, 51.9891, -85.9351
6, 1800.00000, 7994.58, -2.21481, 8031.92, -122.2, 8029.01, 117.743, 40.1982, 154.593, 40.2734, 34.6072, 40.2446, -85.4927
6, 2400.00000, 7798.93, -3.34352, 7792.74, -123.315, 7788.24, 116.632, 60.5709, 154.046, 60.5674, 34.036, 60.5598, -85.956
6, 3000.00000, 7581.29, -4.13077, 7575.02, -124.101, 7570.54, 115.844, 74.9278, 153.849, 74.9231, 33.8394, 74.914, -86.1524
7, 0.00000, 7543.95, -4.26774, 7537.63, -124.238, 7533.15, 115.707, 77.4222, 153.816, 77.4172, 33.806, 77.4079, -86.1857
7, 600.00000, 7528.07, -4.32692, 7521.54, -124.296, 7516.93, 115.647, 78.4915, 153.802, 78.4861, 33.7917, 78.4766, -86.1998
7, 1200.00000, 7557.36, -4.21977, 7550.74, -124.188, 7546.12, 115.754, 76.5319, 153.828, 76.5265, 33.8178, 76.5174, -86.1735
7, 1800.00000, 7526.76, -4.33251, 7520.04, -124.3, 7515.39, 115.642, 78.5806, 153.801, 78.5748, 33.7904, 78.5655, -86.2008
7, 2400.00000, 7570.83, -4.17202, 7563.82, -124.139, 7558.98, 115.802, 75.6411, 153.84, 75.635, 33.8294, 75.626, -86.1614
7, 3000.00000, 7507.28, -4.40742, 7499.64, -124.371, 7494.47, 115.566, 79.9181, 153.783, 79.9101, 33.7722, 79.9007, -86.2172
8, 0.00000, 7509.98, -4.39834, 7502.13, -124.361, 7496.86, 115.575, 79.7401, 153.786, 79.7317, 33.7745, 79.7223, -86.2147
8, 600.00000, 7512.69, -4.3888, 7504.74, -124.351, 7499.6, 115.585, 79.5619, 153.788, 79.5532, 33.7772, 79.5446, -86.212
8, 1200.00000, 7490.25, -4.47215, 7482.18, -124.433, 7477.32, 115.504, 81.0763, 153.768, 81.0668, 33.7581, 81.0598, -86.2313
8, 1800.00000, 7495.67, -4.45316, 7487.35, -124.413, 7482.38, 115.523, 80.7202, 153.772, 80.7103, 33.7627, 80.7033, -86.2263
8, 2400.00000, 7530.32, -4.32643, 7521.8, -124.285, 7517.01, 115.651, 78.4043, 153.803, 78.3939, 33.7941, 78.3885, -86.1948
8, 3000.00000, 7473.37, -4.53648, 7464.84, -124.494, 7460.24, 115.442, 82.2348, 153.752, 82.2236, 33.7439, 82.2188, -86.2452
9, 0.00000, 7492.07, -4.46843, 7483.3, -124.425, 7478.96, 115.512, 80.9878, 153.769, 80.9759, 33.7613, 80.9729, -86.2278
9, 600.00000, 7489.45, -4.47837, 7480.62, -124.434, 7476.35, 115.503, 81.1658, 153.766, 81.1537, 33.7592, 81.1512, -86.2299
9, 1200.00000, 7445.93, -4.63974, 7437.04, -124.595, 7432.92, 115.342, 84.1056, 153.727, 84.0927, 33.721, 84.091, -86.2682
9, 1800.00000, 7381.6, -4.8793, 7372.69, -124.833, 7368.79, 115.104, 88.4719, 153.67, 88.4582, 33.6649, 88.4576, -86.3246
9, 2400.00000, 7393.36, -4.8355, 7384.42, -124.789, 7380.56, 115.148, 87.67, 153.681, 87.6563, 33.6754, 87.656, -86.3142
9, 3000.00000, 7496.06, -4.45425, 7487.19, -124.409, 7483.34, 115.53, 80.7202, 153.772, 80.7076, 33.7663, 80.7072, -86.2232
10, 0.00000, 7416.89, -4.74743, 7408.07, -124.702, 7404.43, 115.237, 86.0652, 153.702, 86.0519, 33.6967, 86.0523, -86.2932
10, 600.00000, 7430.05, -4.69877, 7421.16, -124.653, 7417.62, 115.287, 85.1746, 153.713, 85.161, 33.7086, 85.1621, -86.2813
10, 1200.00000, 7510.66, -4.40079, 7501.71, -124.355, 7498.12, 115.585, 79.7401, 153.785, 79.7272, 33.78, 79.7282, -86.2097
10, 1800.00000, 7577.13, -4.15724, 7568.2, -124.111, 7564.62, 115.828, 75.2853, 153.844, 75.2736, 33.8391, 75.2745, -86.1509
10, 2400.00000, 7391.91, -4.84089, 7383, -124.794, 7379.69, 115.146, 87.7585, 153.679, 87.7444, 33.6756, 87.7467, -86.3147
10, 3000.00000, 7411.58, -4.76738, 7402.73, -124.721, 7399.4, 115.219, 86.422, 153.697, 86.4081, 33.6928, 86.4102, -86.2974
11, 0.00000, 7401.09, -4.80619, 7392.29, -124.76, 7389.07, 115.181, 87.1346, 153.687, 87.1208, 33.6839, 87.1232, -86.3065
11, 600.00000, 7484.07, -4.49754, 7475.45, -124.453, 7472.25, 115.49, 81.5215, 153.761, 81.5088, 33.7572, 81.5106, -86.2332
11, 1200.00000, 7356.53, -4.97095, 7348.18, -124.927, 7345.32, 115.017, 90.1642, 153.648, 90.1507, 33.6455, 90.1538, -86.3457
11, 1800.00000, 7377.44, -4.892, 7369.24, -124.849, 7366.47, 115.096, 88.7386, 153.666, 88.7255, 33.6639, 88.7286, -86.3275
11, 2400.00000, 7373.42, -4.90556, 7365.59, -124.864, 7363.06, 115.084, 89.0056, 153.663, 88.993, 33.6609, 88.9964, -86.3311
11, 3000.00000, 7415.41, -4.74861, 7407.65, -124.708, 7405.14, 115.241, 86.154, 153.7, 86.1419, 33.6979, 86.1451, -86.294
12, 0.00000, 7674.94, -3.79626, 7667.21, -123.757, 7664.55, 116.192, 68.779, 153.931, 68.7698, 33.9288, 68.7716, -86.0632
12, 600.00000, 7575.41, -4.15693, 7568.12, -124.119, 7565.81, 115.833, 75.3728, 153.842, 75.3633, 33.8403, 75.3659, -86.1525
12, 1200.00000, 7508.73, -4.4004, 7501.79, -124.364, 7499.69, 115.59, 79.827, 153.783, 79.8175, 33.7814, 79.8204, -86.212
12, 1800.00000, 7531.16, -4.31679, 7524.5, -124.282, 7522.59, 115.674, 78.3128, 153.803, 78.304, 33.8019, 78.3071, -86.192
12, 2400.00000, 7597.76, -4.07254, 7591.19, -124.038, 7589.3, 115.919, 73.8585, 153.863, 73.8504, 33.8615, 73.8533, -86.1325
12, 3000.00000, 7663.75, -3.83402, 7656.76, -123.798, 7654.58, 116.156, 69.492, 153.922, 69.4838, 33.92, 69.486, -86.0733
13, 0.00000, 7683.92, -3.76037, 7677.09, -123.725, 7675.03, 116.23, 68.1542, 153.94, 68.1464, 33.9383, 68.1488, -86.0552
13, 600.00000, 7607.47, -4.03983, 7600.17, -124.002, 7597.77, 115.949, 73.235, 153.871, 73.2259, 33.8688, 73.228, -86.1239
13, 1200.00000, 7670.46, -3.81033, 7663.31, -123.773, 7661.02, 116.179, 69.0457, 153.928, 69.0375, 33.9257, 69.0396, -86.0674
13, 1800.00000, 7600.37, -4.06442, 7593.44, -124.028, 7591.28, 115.926, 73.6798, 153.865, 73.6714, 33.8631, 73.6738, -86.1304
13, 2400.00000, 7603.87, -4.05912, 7595.03, -124.014, 7591.42, 115.926, 73.5033, 153.868, 73.4921, 33.8629, 73.4925, -86.1272
13, 3000.00000, 7573.08, -4.17262, 7564.02, -124.126, 7560.19, 115.812, 75.5526, 153.84, 75.5409, 33.8349, 75.541, -86.1548
14, 0.00000, 7555.8, -4.23753, 7546.22, -124.189, 7541.98, 115.746, 76.7113, 153.825, 76.6983, 33.8189, 76.6979, -86.1697
14, 600.00000, 7517.05, -4.37992, 7507.48, -124.331, 7503.12, 115.603, 79.2947, 153.79, 79.2815, 33.7841, 79.2806, -86.2045
14, 1200.00000, 7495.76, -4.45872, 7486.13, -124.409, 7481.66, 115.523, 80.7201, 153.771, 80.7066, 33.765, 80.7054, -86.2235
14, 1800.00000, 7467.66, -4.56198, 7458.17, -124.512, 7453.82, 115.42, 82.5904, 153.747, 82.5772, 33.7405, 82.5761, -86.2485
14, 2400.00000, 7628.66, -3.9712, 7619.3, -123.923, 7614.71, 116.01, 71.8094, 153.89, 71.7988, 33.8831, 71.7966, -86.1061
14, 3000.00000, 7453, -4.61573, 7443.65, -124.566, 7439.2, 115.365, 83.5703, 153.734, 83.5574, 33.7272, 83.5555, -86.2618
15, 0.00000, 7488.46, -4.48351, 7479.35, -124.436, 7474.66, 115.496, 81.1647, 153.765, 81.1531, 33.7578, 81.1495, -86.2312
15, 600.00000, 7592.09, -4.10239, 7583.09, -124.057, 7578.27, 115.876, 74.2153, 153.858, 74.2052, 33.8499, 74.2011, -86.1392
15, 1200.00000, 7633.47, -3.95081, 7624.8, -123.906, 7620.17, 116.028, 71.4522, 153.895, 71.4434, 33.8871, 71.4394, -86.1029
15, 1800.00000, 7626.57, -3.97485, 7618.17, -123.931, 7613.59, 116.004, 71.8976, 153.889, 71.8893, 33.881, 71.885, -86.1094
15, 2400.00000, 7672.23, -3.80824, 7664.01, -123.766, 7659.36, 116.169, 68.8668, 153.93, 68.8594, 33.9218, 68.8545, -86.0687
15, 3000.00000, 7723.51, -3.6214, 7715.63, -123.582, 7710.52, 116.353, 65.478, 153.977, 65.472, 33.9667, 65.465, -86.0237
16, 0.00000, 7604.78, -4.05106, 7597.1, -124.012, 7591.96, 115.922, 73.3233, 153.87, 73.317, 33.8597, 73.3085, -86.1308
16, 600.00000, 7514, -4.38238, 7506.49, -124.345, 7501.2, 115.589, 79.3819, 153.79, 79.3752, 33.7784, 79.365, -86.2118
16, 1200.00000, 7492.77, -4.46041, 7485.32, -124.424, 7480.02, 115.511, 80.8072, 153.771, 80.8005, 33.7594, 80.7899, -86.2308
16, 1800.00000, 7501.88, -4.42626, 7494.55, -124.39, 7489.1, 115.544, 80.1836, 153.779, 80.1774, 33.7672, 80.166, -86.2231
16, 2400.00000, 7507.09, -4.40675, 7499.83, -124.371, 7494.41, 115.564, 79.8271, 153.784, 79.8212, 33.7719, 79.8097, -86.2185
16, 3000.00000, 7530.83, -4.31891, 7523.7, -124.284, 7518.25, 115.651, 78.2232, 153.805, 78.218, 33.793, 78.2063, -86.1976
17, 0.00000, 7547.94, -4.25495, 7541.09, -124.221, 7535.73, 115.715, 77.0648, 153.82, 77.0602, 33.8084, 77.0484, -86.1826
17, 600.00000, 7551.75, -4.24011, 7545.14, -124.207, 7539.94, 115.73, 76.7971, 153.824, 76.7931, 33.8122, 76.7816, -86.1793
17, 1200.00000, 7507.79, -4.4008, 7501.41, -124.369, 7496.34, 115.569, 79.7368, 153.785, 79.7331, 33.7733, 79.7211, -86.2186
17, 1800.00000, 7578.19, -4.14117, 7572.28, -124.111, 7567.37, 115.829, 75.0145, 153.847, 75.0124, 33.8363, 75.0007, -86.1568
17, 2400.00000, 7560.71, -4.20455, 7554.97, -124.175, 7550.14, 115.766, 76.1724, 153.832, 76.1707, 33.8208, 76.1589, -86.1726
17, 3000.00000, 7702.94, -3.68702, 7697.33, -123.658, 7692.45, 116.283, 66.7243, 153.96, 66.7236, 33.9485, 66.7128, -86.0454
18, 0.00000, 7975.21, -2.80038, 7969.64, -122.771, 7964.65, 117.17, 50.0275, 154.125, 50.0276, 34.1139, 50.0192, -85.8806
18, 600.00000, 8389.11, -1.29663, 8383.43, -121.268, 8378.49, 118.674, 23.6842, 154.592, 23.6845, 34.5809, 23.6804, -85.4141
18, 1200.00000, 7995.92, -0.821604, 7990.18, -120.793, 8033.53, 119.143, 14.8236, 155.96, 14.8333, 36.0638, 14.8517, -84.0204
18, 1800.00000, 7994.2, -0.827506, 7988.55, -120.799, 8031.92, 119.137, 14.914, 155.958, 14.9238, 36.0622, 14.9423, -84.0222
18, 2400.00000, 8017.66, -0.740292, 8012.62, -120.714, 8007.98, 119.229, 13.2911, 156.073, 13.2914, 36.0625, 13.2891, -83.9332
18, 3000.00000, 8033.5, -0.681976, 8028.47, -120.655, 8023.86, 119.288, 12.2025, 156.091, 12.2028, 36.0802, 12.2007, -83.9155
19, 0.00000, 8022.42, -0.722091, 8017.5, -120.696, 8012.96, 119.248, 12.9282, 156.079, 12.9285, 36.0683, 12.9263, -83.9276
19, 600.00000, 8027.51, -0.702713, 8022.76, -120.677, 8018.35, 119.268, 12.5654, 156.085, 12.5657, 36.0746, 12.5636, -83.9216
